Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,point
Queens,Old Astoria-Hallets Point,N/E Corner of 31 Ave and 21 Dr,N/E Corner of 31 Ave and 21 Dr,Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76738,-73.92971,114,463,POINT (-73.9297099996082 40.7673800003006)
Manhattan,Financial District-Battery Park City,SmartComposting: Wall & Pearl Streets,Wall and Pearl Streets (Southwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70559,-74.00812,1,431,POINT (-74.0081200003158 40.7055900002006)
Manhattan,East Village,La Plaza Cultural Community Garden,674 East 9th Street,La Plaza Cultural Community Garden,April-November,Saturdays and Sundays (Start Time: 2:00 PM - End Time:  4:00 PM),"Please carefully read instructions here: https://bit.ly/laplazadropoff; Not accepted: meat, bones, or dairy",https://bit.ly/laplazadropoff,103,2,2602,,,40.7253498,-73.9786278,9,536,POINT (-73.9786277997279 40.7253498000081)
Brooklyn,Bedford-Stuyvesant (East),Bed Stuy Fresh Food Box,Decatur St and Lewis Ave,GrowNYC,Year Round,Saturdays (Start Time: 11:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,303,36,273,,,40.68133,-73.93481,81,521,POINT (-73.9348100004491 40.6813299997479)
Brooklyn,The Evergreens Cemetery,Aberdeen Community Garden,"91 Aberdeen St, Brooklyn, 11207",BK Rot,Year Round,"Sundays (Start Time: 1:00 PM - End Time:  4PM (Dec-Feb), 5PM (Mar.-Nov.))","Not accepted: meat, bones, or dairy",www.bkrot.org,304,37,,,,40.6840598,-73.9050492,83,558,POINT (-73.9050491996681 40.684059800443)
Brooklyn,Brownsville,Abib Newborn Learning Garden,"495 Osborn St, Brooklyn, NY 11212",Volunteers at Abib Newborn Learning Garden,Year Round,"Monday, Wednesday, Fridays (Start Time: 10:00 AM - End Time:  6:00 PM)","Not accepted: meat, bones, or dairy",https://cityparksfoundation.org/learning-gardens/,316,42,,,,40.6595266,-73.90591,73,495,POINT (-73.9059100000919 40.6595266003766)
Bronx,Concourse-Concourse Village,New Roots Community Farm,"670 Grand Concourse, The Bronx, NY 10451",GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,204,17,,,,40.82135,-73.92506,44,581,POINT (-73.9250600005692 40.8213499998536)
Manhattan,West Village,Abingdon Square Greenmarket,W 12th St and 8th Ave,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,102,3,77,,,40.737472,-74.005095,6,510,POINT (-74.0050950005916 40.7374720004126)
Brooklyn,Bushwick (West),BK Rot,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",BK Rot,Year Round,Sundays (Start Time: 12:00 PM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",BKrot.org,304,34,,,,40.697694,-73.925806,83,553,POINT (-73.9258060002419 40.6976940003888)
Manhattan,West Village,Christopher Park,"West 4th Street b/w Christopher St and Grove St., west side of Christopher Park",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,102,3,,,,40.733536,-74.002663,6,509,POINT (-74.0026630005714 40.7335359997844)
Brooklyn,Prospect Park,Grand Army Plaza Greenmarket,Flatbush Ave & Prospect Park W (Prospect Park entrance),GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,355,39,,,,40.671899,-73.969673,78,526,POINT (-73.9696730000047 40.6718990002954)
Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Grace Foundation,460w Brielle Avenue,Grace Foundation,Year Round,Mondays (Start Time: 9:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",graceofny.org,502,50,181,5009550100,5000000,40.592723,-74.135113,122,641,POINT (-74.1351130003819 40.5927229996568)
Brooklyn,Coney Island-Sea Gate,PS 90 Coney Island,"2840 W 12th Street, Brooklyn, NY 11224",PS 90 Coney Island,Year Round,Wednesdays (Start Time: 7:30 AM - End Time:  10:30 AM),"Not accepted: meat, bones, or dairy",,313,47,,,,40.5782545,-73.979703,60,568,POINT (-73.979702999916 40.5782545004404)
Manhattan,Financial District-Battery Park City,Battery Park City Authority Rockefeller Park,Lower level downstairs at corner of Chambers St and River Terrace,Battery Park City Authority,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://bpca.ny.gov/nature-and-sustainability/sustainability/,101,1,,,,40.7183877,-74.0148782,1,436,POINT (-74.0148782001968 40.7183876996668)
Staten Island,St. George-New Brighton,St. George Greenmarket,St. Marks Pl and Hyatt St,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",snug-harbor.org,501,49,3,,,40.641967,-74.077928,120,636,POINT (-74.0779280001298 40.6419670001593)
Bronx,Concourse-Concourse Village,BronxWorks Carolyn McLaughlin Community Center,1130 Grand Concourse,GrowNYC,Year Round,Thursdays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,204,16,18102,2024620042,2002833,40.83268,-73.918805,44,582,POINT (-73.9188049998578 40.8326800001475)
Brooklyn,Park Slope,Old Stone House Brooklyn,"336 3rd St, Brooklyn, NY 11215",Old Stone House Brooklyn,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,,306,39,,,,40.6727118,-73.984731,78,525,POINT (-73.9847309996321 40.6727118002141)
Brooklyn,Bushwick (East),Wilson Ave Food Scrap Drop-off,Wilson Ave & Moffat St (near L train),GrowNYC,Year Round,Thursdays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,304,37,,,,40.688793,-73.904826,83,557,POINT (-73.9048260004577 40.6887930003746)
Manhattan,The Battery-Governors Island-Ellis Island-Liberty Island,*CLOSED FOR THE SEASON* Governors Island Compost Learning Center,758 Enright Rd,NYC Compost Project Hosted by Earth Matter NY,May 1- November 1,Saturdays and Sundays (Start Time: 12:00 PM - End Time:  4:00 PM),,,101,1,5,,,40.6871579,-74.0201142,1,441,POINT (-74.02011419978 40.6871579002815)
Manhattan,Upper West Side-Manhattan Valley,97th Street Greenmarket,W 97th St and Amsterdam Ave,GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,107,7,181,,,40.794717,-73.969552,24,540,POINT (-73.9695519996283 40.7947169996616)
Bronx,Morris Park,Albert Einstein College of Medicine (AECOM) Garden Club,Near 1975 Eastchester Road,Volunteers at Einstein Community Garden,Year Round,Wednesdays (Start Time: 4:00 PM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",,211,13,296,2042050002,2102976,40.8532261,-73.8434618,49,614,POINT (-73.8434618005839 40.8532261004368)
Bronx,Norwood,Keepers House Edible Garden,3400 Reservoir Oval East,Friends of Mosholu Parkland,Year Round,Every day (Start Time: 9:00 AM - End Time:  8:00 PM),"Not accepted: meat, bones, or dairy",www.mpcbronx.org,207,11,423,2033430185,2018218,40.87896,-73.87585,52,604,POINT (-73.8758500003524 40.8789599995699)
Queens,Jackson Heights,Fordham Plaza Food Scrap Drop-off,E Fordham Rd between Webster Ave & Third Ave,GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,403,25,,,,40.755111,-73.890783,115,482,POINT (-73.890782999842 40.7551109999469)
Manhattan,East Harlem (North),Uptown Grand Central Fresh Food Box,"Park Ave &, E 125th St",Uptown Grand Central,Year Round,Wednesdays (Start Time: 2:00 PM - End Time:  7:00 PM),,,111,8,,,,40.8049824,-73.9390315,25,572,POINT (-73.9390314997621 40.8049823997971)
Queens,Astoria (Central),N/W Corner of 31 Ave and 29 St,N/W Corner of 31 Ave and 29 St,Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76527,-73.92513,114,450,POINT (-73.9251299997178 40.7652699999246)
Staten Island,Arden Heights-Rossville,Arden Heights,Arden Avenue and Forest Green,Snug Harbor Youth,Year Round,Saturdays (Start Time: 1:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://snug-harbor.org/,503,51,17007,,,40.556014,-74.194626,123,621,POINT (-74.1946260004538 40.5560140001636)
Brooklyn,East New York-New Lots,Rockaway Avenue Community Compost Site,"1149 Rockaway Avenue, Brooklyn NY, 11236",NYC Compost Project Hosted by LES Ecology Center,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,318,42,,,,40.6516768,-73.9059912,69,505,POINT (-73.9059911997076 40.6516767995581)
Queens,Sunnyside,45th Street Composters,"41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)",Volunteers at 45th Street Compost,Year Round,Sundays (Start Time: 10:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://linktr.ee/45thstreetcomposters,402,26,,,,40.746199,-73.919118,108,477,POINT (-73.9191179999048 40.7461989997368)
Bronx,Kingsbridge-Marble Hill,Mediator's Composting Initiative,"260 West 231 Street Bronx, NY 10463",The Earth Ministry of The Church of The Mediator,Year Round,Saturdays (Start Time: 10:00 AM - End Time:  12:00 PM),"Donation: 25 cents per pound. Drop off location is by Bx7, Bx10, BX1 bus stop. Not accepted: meat, bones, or dairy",https://www.instagram.com/mediator_garden_and_composting/,208,11,,,,40.879849,-73.906856,50,609,POINT (-73.9068559997786 40.8798489995601)
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Carroll Gardens Greenmarket,Smith St and 1st Pl,GrowNYC,Year Round,Sundays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,306,39,77,,,40.679954,-73.99517,76,550,POINT (-73.9951700000926 40.6799539999427)
Queens,Astoria (Central),N/W corner of 31 ave and 35 st,N/W corner of 31 ave and 35 st,Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76294,-73.92037,114,445,POINT (-73.9203700002623 40.7629399998066)
Bronx,Mott Haven-Port Morris,Friends of Brook Park Community Garden,"494 E 141st St, The Bronx, NY 10454",Volunteers at Friends of Brook Park Community Garden,Year Round,Saturdays and Sundays (Start Time: 10:00 AM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",,201,8,,,,40.8097074,-73.9185797,40,577,POINT (-73.9185797003389 40.8097074004257)
Brooklyn,Bensonhurst,18th Avenue at 64th Street,west of 18th Avenue between 64th Street and 63rd Street,NYC Compost Project Hosted by LES Ecology Center,Year Round,Tuesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,311,38,,,,40.6200069,-73.9894524,62,545,POINT (-73.9894524003749 40.6200068999359)
Queens,East Elmhurst,McIntosh Neighborhood Assoc.,"25-16 McIntosh St, East Elmhurst, NY, 11369",,April - November,Every 3rd Saturday of the month (Start Time: 10:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",https://bqlt.org/garden/mcintosh-neighborhood-garden,403,21,,,,40.7640828,-73.8695398,115,486,POINT (-73.8695398001674 40.7640828004197)
Queens,Springfield Gardens (South)-Brookville,Garden of Resilience,"179-18 145th Dr, Jamaica, NY 11434",Volunteers at Garden of Resilience,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",http://www.laurelton.nyc/resilience,413,31,,,,40.66392,-73.76626,105,633,POINT (-73.7662600005769 40.6639199998397)
Queens,Astoria (Central),N/W Corner of 31 Dr and Crescent St (on Crescent St.),N/W Corner of 31 Dr and Crescent St (on Crescent St.),Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76439,-73.92761,114,454,POINT (-73.927610000531 40.7643899999001)
Bronx,Crotona Park East,Bronx River House / Starlight Park,1490 Sheridan Blvd,Bronx River Alliance,Year Round,Fridays (Start Time: 9:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",www.bronxriver.org,209,17,157,2030190100,2128943,40.8328527,-73.8830803,43,589,POINT (-73.8830802997668 40.8328526997964)
Queens,Queensbridge-Ravenswood-Dutch Kills,Socrates Sculpture Park,"Broadway & Vernon Blvd, Queens, NY 11106",Socrates Sculpture Park,Year Round,Every day (Start Time: 9:00 AM - End Time:  Dusk),"Not accepted: meat, bones, or dairy",socratessculpturepark.org,401,26,,,,40.768389,-73.937,114,473,POINT (-73.9369999996804 40.7683890002617)
Brooklyn,East New York (North),East New York Farms: St. John Community Garden,"474 New Jersey Ave, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,42,,,,40.6676529,-73.8940832,75,501,POINT (-73.8940831999447 40.6676528997684)
